locations/id,locations/name,locations/types/0,locations/address/addressLines/0,locations/address/postalCode,locations/address/latitude,locations/address/longitude,locations/address/placeId,locations/address/city,locations/address/territory,locations/address/district,locations/is-24-hours,locations/status,locations/address/addressLines/1,locations/regularHours/0/openDay,locations/regularHours/0/closeDay,locations/regularHours/0/openTime,locations/regularHours/0/closeTime,locations/regularHours/1/openDay,locations/regularHours/1/closeDay,locations/regularHours/1/openTime,locations/regularHours/1/closeTime,locations/regularHours/2/openDay,locations/regularHours/2/closeDay,locations/regularHours/2/openTime,locations/regularHours/2/closeTime,locations/regularHours/3/openDay,locations/regularHours/3/closeDay,locations/regularHours/3/openTime,locations/regularHours/3/closeTime,locations/regularHours/4/openDay,locations/regularHours/4/closeDay,locations/regularHours/4/openTime,locations/regularHours/4/closeTime,locations/regularHours/5/openDay,locations/regularHours/5/closeDay,locations/regularHours/5/openTime,locations/regularHours/5/closeTime,locations/regularHours/6/openDay,locations/regularHours/6/closeDay,locations/regularHours/6/openTime,locations/regularHours/6/closeTime
58,ENOC,atm,"Mirdiff Station, near Mirdif City Centre, Dubai",,25.210952,55.416146000000026,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Arabian Ranches,atm,"Next to Geant Hypermarket, Dubai",,25.0568839,55.2702358,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Emarat,atm,"Jumeirah, Chicago Beach, Near Burj Arab, Dubai",,25.1473793,55.1966531,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,DUCAB,atm,"Jebel Ali Free Zone, Dubai",,24.9620937,55.0224498,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jebel Ali Branch,branch,The Galleries Bldg in Downtown Jebel Ali,,24.9800953,55.09227090000002,,,,,false,open,,1,1,08:00 AM,03:30 PM,2,2,08:00 AM,03:30 PM,3,3,08:00 AM,03:30 PM,4,4,08:00 AM,03:30 PM,5,5,07:30 AM,12:30 PM,6,6,08:00 AM,03:30 PM,,,,
7657,"Shoreline Apartments, Palm Jumeirah",atm,"Shoreline Apartments , Al Shalal Beach Club, Building 7-8, Main entrance, Dubai",,25.1122923,55.1441797,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7659,Town Centre Meadows,atm,"Next to Fitness First, Dubai",,25.0640056,55.1573777,,,,,false,closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7647,Rotana Al Ain,atm,"Hotel Lobby, Al Ain",,24.2184719,55.748902000000044,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7648,Landmark Group,atm,Jebel Ali,,24.9987012,55.1120654,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7649,Fairmont Hotel,atm,"Palm Jumeirah, Dubai",,25.1101474,55.1410338,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7651,Emarat,atm,"Bin Hendi, Sheikh Zayed road, After Hyuandi Show room, Dubai",,25.1345954,55.2159984,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7652,Knowledge Village,atm,"Near food court, Dubai",,25.103036,55.162186,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7654,Landmark Head Q,atm,"Tecom, Dubai Media City, Dubai",,25.0874221,55.1512292,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7656,Time Oak Hotel,atm,"Tecom, Al- Barsha, Dubai",,25.0967537,55.1725666,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Dubai Airport,atm,"Terminal 3, Al Hamad Exchange, Arrival Hall, Dubai",,25.245259,55.35971,,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Intercontinental Hotel,atm,"Dubai Marina, Dubai",,25.0789862,55.1379251,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7640,Al Maya Lal Supermarket,atm,"Riqua Street, Dubai",,25.263734,55.322259,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7644,Al Safeer Centre,atm,"Mussafah, Abu Dhabi",,24.342859,54.530204,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7645,Le Marche Supermarket,atm,"U Bora Tower, Business Bay, Dubai",,25.1803791,55.2706718,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sharjah Branch,atm,"Shop No. 1 & 2, Belrasheed Building Buhaira Cornish, Al Sour Area",,25.342525,55.385583999999994,,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Arabian Courtyard Hotel,atm,Dubai,,25.262527,55.297273,,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7623,Al Ain Branch,atm,Al Ain Branch,,24.2211756,55.771559000000025,,,,,false,open,"Main Street, opposite to Hayat Centre, Al Ain",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7627,Khalidiya Branch,atm,"Prestige Tower, Ground Floor, W-10/C-10 Khalidiya, Abu Dhabi, UAE",,24.4695823,54.3422218,,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7629,SC Tower EBU,atm,"Emaar Square, Down Town Burj Khalifa, Dubai",,25.2021278,55.2723522,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7630,Jebel Ali Branch,atm,"The Galleries Bldg in Downtown Jebel Ali, Jebel Ali",,24.980107,55.092257,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7631,Emaar Business Park,atm,"Building #3, Dubai",,25.0957186,55.166873,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7636,DUBAL,atm,"Near Cricket ground, Jebel Ali, Jebel Ali",,25.031659,55.093646,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7638,Pullman Hotel,atm,Deira City Center,,25.2506941,55.3341675,,,,,false,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
