streetAddress2,desktopHours/desktopHours/Monday,desktopHours/desktopHours/Tuesday,desktopHours/desktopHours/Wednesday,desktopHours/desktopHours/Thursday,desktopHours/desktopHours/Friday,desktopHours/desktopHours/Saturday,desktopHours/desktopHours/Sunday,agentPaymentType,detail.hours/Monday,detail.hours/Tuesday,detail.hours/Wednesday,detail.hours/Thursday,detail.hours/Friday,detail.hours/Saturday,detail.hours/Sunday,sunOpenTime,is_dormant,thuCloseTime,searchName,wedCloseTime,friCloseTime,time_zone,monCloseTime,phone,satOpenTime,s_phone,postal,city,name,NAID,location,latitude,state,streetAddress,thuOpenTime,wedOpenTime,tueOpenTime,bankAccountRequired,streetAddress3,formattedAddress,satCloseTime,friOpenTime,country,locator_id,longitude,sunCloseTime,atmLocation,monOpenTime,tueCloseTime,2CharCountryISO,networkName,type,distance,tzOffset,detail.services/0,detail.services/1,detail.services/2,detail.services/3,detail.services/4,detail.services/5,detail.services/6,id,desktopServices/0/desktopServices/0,desktopServices/0/desktopServices/1,desktopServices/0/desktopServices/2,desktopServices/0/desktopServices/3,desktopServices/0/desktopServices/4,desktopServices/0/desktopServices/5,desktopServices/0/desktopServices/6,CODECL,stage_and_pay,COUNTRY_NAME,orig_id,Spanish_Message,actionFilter,English_Message,services,detailsUrl,sendToCuba,wuAgent,detail.services/7,detail.services/8,detail.services/9,desktopServices/0/desktopServices/7,desktopServices/0/desktopServices/8,desktopServices/0/desktopServices/9
MUSAFFAH,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00,,22:00,EIIE MUSAFFAH36,22:00,22:00,Asia/Dubai,22:00,(+971) 2-8869387,09:00,97128869387,7190,Abudhabi,EIIE MUSAFFAH36,baa69c5e8c583d39353a618a046d60f2,"24.344406,54.497131",24.344406,ABU DHABI,Opposite Arab Al Madina Super,09:00,09:00,09:00,N,LIMITS BY CMP 00749942,"Opposite Arab Al Madina Super, Musaffah, Limits By Cmp 00749942, Abudhabi, Abu Dhabi, Ae",22:00,09:00,AE,,54.497131,22:00,N,09:00,22:00,AE,EMIRATES INDIA INTL EXCHANGE,,121.5,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,660a978873f97dcff5d3b66696944769,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AQ4230463,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abudhabi/660a978873f97dcff5d3b66696944769,FALSE,FALSE,,,,,,
"Musaffah Industrial City 36,",09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00,,23:00,Lulu International Exchange LLC,23:00,23:00,Asia/Dubai,23:00,(+971) 506258236,09:00,9.71506E+11,,Mussafah,Lulu International Exchange LLC,d2dc7817103cee9d1234c77438ca7e4c,"24.344530,54.497120",24.34453,Abu Dhabi,"Building No. 5, Shop No.3",09:00,09:00,09:00,N,TRANSACTION LIMITS BY ROM 00937849,"Building No. 5, Shop No.3, Musaffah Industrial City 36,, Transaction Limits By Rom 00937849, Mussafah, Abu Dhabi, Ae",23:00,09:00,AE,,54.49712,23:00,N,09:00,23:00,AE,LULU INTERNATIONAL EXCHANGE LL,,121.51,240,Cash Money Transfer,Pick Up Cash,Money Transfer,Quick Pay,Quick Cash,,,b3f4aea74a23653169373b4df781180d,moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash,,,8,,United Arab Emirates,AED221484,,,,"moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash",ae/abu-dhabi/mussafah/b3f4aea74a23653169373b4df781180d,FALSE,FALSE,,,,,,
"NEAR SHABAB MUSAFFAH S/M,MUSAFFAH-26",09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45 AM - 09:30 PM,09:45,,21:30,MUSAFFAH M26 BRANCH,21:30,21:30,Asia/Dubai,21:30,(+971) 02-5856051,09:45,9.71026E+11,,Abu Dhabi,MUSAFFAH M26 BRANCH,3c569f53b07a03407b9e3889037480a9,"24.348873,54.490438",24.348873,ABU DHABI,"Shabab Musaffah S/m,shop-7",09:45,09:45,09:45,N,DL LIMIT BY AGENT 00928504,"Shabab Musaffah S/m,shop-7, Near Shabab Musaffah S/m,musaffah-26, Dl Limit By Agent 00928504, Abu Dhabi, Abu Dhabi, Ae",21:30,09:45,AE,,54.490438,21:30,N,09:45,21:30,AE,WALLSTREET EXCHANGE CENTRE LLC,,121.55,240,Cash Money Transfer,Pick Up Cash,Money Transfer,Quick Pay,Quick Cash,,,b25fb1e9ccb89bf29729b38538db7af6,moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash,,,8,,United Arab Emirates,AED021592,,,,"moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/b25fb1e9ccb89bf29729b38538db7af6,FALSE,FALSE,,,,,,
NEAR MADINA HYPERMARKET MUSAFFAH,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00 AM - 10:00 PM,09:00,,22:00,AL DAHAB EXCHANGE,22:00,22:00,Asia/Dubai,22:00,(+971) 2-5578333,09:00,97125578333,,Abu Dhabi,AL DAHAB EXCHANGE,90757ca6cc488d60ea9fb59f362eb6cb,"24.324639,54.531670",24.324639,ABU DHABI,Bldg Fatuma Mansoori Naseem Al Barr St,09:00,09:00,09:00,N,LIMITS BY AGENT 00776997,"Bldg Fatuma Mansoori Naseem Al Barr St, Near Madina Hypermarket Musaffah, Limits By Agent 00776997, Abu Dhabi, Abu Dhabi, Ae",22:00,09:00,AE,,54.53167,22:00,N,09:00,22:00,AE,AL DAHAB EXCHANGE,,121.65,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,2c479a4d53508706fc69945a2a52f36b,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED970067,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/2c479a4d53508706fc69945a2a52f36b,FALSE,FALSE,,,,,,
MAFRAQ CENTRE,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30,,23:00,EMIRATES INDIA INTL EXCHANGE,23:00,23:00,Asia/Dubai,23:00,(+971) 2-5823874,08:30,97125823874,7190,Abu Dhabi,EMIRATES INDIA INTL EXCHANGE,baa69c5e8c583d39353a618a046d60f2,"24.258503,54.625566",24.258503,ABU DHABI,Mafraq Centre China Camp,08:30,08:30,08:30,N,LIMITS BY CMP 00749942,"Mafraq Centre China Camp, Mafraq Centre, Limits By Cmp 00749942, Abu Dhabi, Abu Dhabi, Ae",23:00,08:30,AE,,54.625566,23:00,N,08:30,23:00,AE,EMIRATES INDIA INTL EXCHANGE,,121.73,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,46c00dd446bea781a771c276b436efe3,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AJ2230203,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/46c00dd446bea781a771c276b436efe3,FALSE,FALSE,,,,,,
"Inside Mafraq Centre China camp,",09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00,,23:00,Lulu International Exchange LLC,23:00,23:00,Asia/Dubai,23:00,(+971) 506258184,09:00,9.71506E+11,,Al Mafraq,Lulu International Exchange LLC,d2dc7817103cee9d1234c77438ca7e4c,"24.258530,54.625570",24.25853,Abu Dhabi,"Shop No. 24, Al Mafraq St.",09:00,09:00,09:00,N,TRANSACTION LIMITS BY ROM 00937849,"Shop No. 24, Al Mafraq St., Inside Mafraq Centre China Camp,, Transaction Limits By Rom 00937849, Al Mafraq, Abu Dhabi, Ae",23:00,09:00,AE,,54.62557,23:00,N,09:00,23:00,AE,LULU INTERNATIONAL EXCHANGE LL,,121.74,240,Cash Money Transfer,Pick Up Cash,Money Transfer,Quick Pay,Quick Cash,,,06b04eec9af790d4a0781901b8472ecf,moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash,,,8,,United Arab Emirates,AED221462,,,,"moneyTransferSend,moneyTransferReceive,moneyTransfer,quickPay,quickCash",ae/abu-dhabi/al-mafraq/06b04eec9af790d4a0781901b8472ecf,FALSE,FALSE,,,,,,
NEAR: MAFREQ CENTER,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,10:00 AM - 11:59 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,10:00 AM - 11:59 PM,09:00 AM - 11:00 PM,09:00 AM - 11:00 PM,09:00,,23:00,LULU INTERNATIONAL EXCHANGE LLC,23:00,23:59,Asia/Dubai,23:00,(+971) 2-8184208,09:00,97128184208,,Abu Dhabi,LULU INTERNATIONAL EXCHANGE LLC,d2dc7817103cee9d1234c77438ca7e4c,"24.258621,54.625631",24.258621,ABU DHABI,Bldg Mafreq Center Al Muwafaq St,09:00,09:00,09:00,N,TRANSACTION LIMITS BY ROM 00937849,"Bldg Mafreq Center Al Muwafaq St, Near: Mafreq Center, Transaction Limits By Rom 00937849, Abu Dhabi, Abu Dhabi, Ae",23:00,10:00,AE,,54.625631,23:00,N,09:00,23:00,AE,LULU INTERNATIONAL EXCHANGE LL,,121.75,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,e8d40b1df4ad444f3252201fbe8905ec,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED220791,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/e8d40b1df4ad444f3252201fbe8905ec,FALSE,FALSE,,,,,,
OPPOSITE MAFRAQ CENTER,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00,,23:59,AL ANSARI EXCHANGE,23:59,23:59,Asia/Dubai,23:59,(+971) 2-5549982,08:00,97125549982,,Mafraq,AL ANSARI EXCHANGE,dd695127669a28f6f72eb3d3cad2c218,"24.260401,54.623935",24.260401,ABU DHABI,"Labotel Bazaar, Labotel Workers City2",08:00,08:00,08:00,N,,"Labotel Bazaar, Labotel Workers City2, Opposite Mafraq Center, Mafraq, Abu Dhabi, Ae",23:59,08:00,AE,,54.623935,23:59,N,08:00,23:59,AE,AL ANSARI EXCHANGE,,121.78,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,8d2c3bc57d3405688620bd4f3b32487b,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED015739,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/mafraq/8d2c3bc57d3405688620bd4f3b32487b,FALSE,FALSE,,,,,,
NEAR EUROSTAR CELLAR SHABIYA,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30,,23:59,AL ANSARI EXCHANGE,23:59,23:59,Asia/Dubai,23:59,(+971) 2-5522909,07:30,97125522909,,Abu Dhabi,AL ANSARI EXCHANGE,dd695127669a28f6f72eb3d3cad2c218,"24.324333,54.534541",24.324333,ABU DHABI,Bldg Shabiya 12 Nasim Al Barr St,07:30,07:30,07:30,N,LIMITS BY CMP 749942,"Bldg Shabiya 12 Nasim Al Barr St, Near Eurostar Cellar Shabiya, Limits By Cmp 749942, Abu Dhabi, Abu Dhabi, Ae",23:59,07:30,AE,,54.534541,23:59,N,07:30,23:59,AE,AL ANSARI EXCHANGE,,121.79,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,5029910986ca3b02ef0544a646d38dad,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED010482,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/5029910986ca3b02ef0544a646d38dad,FALSE,FALSE,,,,,,
OPPOSITE TO MALABAR GOLD BUILDING,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00,,23:00,LULU INTERNATIONAL EXCHANGE,23:00,23:00,Asia/Dubai,23:00,(+971) 02-6734231,08:00,9.71027E+11,,Abu Dhabi,LULU INTERNATIONAL EXCHANGE,d2dc7817103cee9d1234c77438ca7e4c,"24.324209,54.534897",24.324209,ABU DHABI,Baseen Al Barr Streettexas Extilesbuild,08:00,08:00,08:00,N,TRANSACTION LIMITS BY ROM 00937849,"Baseen Al Barr Streettexas Extilesbuild, Opposite To Malabar Gold Building, Transaction Limits By Rom 00937849, Abu Dhabi, Abu Dhabi, Ae",23:00,08:00,AE,,54.534897,23:00,N,08:00,23:00,AE,LULU INTERNATIONAL EXCHANGE LL,,121.8,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,5d71de1f5f87453596b3c1ad6755418f,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED221109,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/5d71de1f5f87453596b3c1ad6755418f,FALSE,FALSE,,,,,,
AREA: MUSAFFAH,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00 AM - 11:59 PM,08:00,,23:59,REDHA AL ANSARI EXCHANGE,23:59,23:59,Asia/Dubai,23:59,(+971) 2-6420777,08:00,97126420777,,Abu Dhabi,REDHA AL ANSARI EXCHANGE,cdd701623b543c8dde68ae154dc9f667,"24.352326,54.490464",24.352326,ABU DHABI,"Bldg Almadina Hypermarket, Ad Doja 2 St",08:00,08:00,08:00,N,LIMITS BY CMP 00749942,"Bldg Almadina Hypermarket, Ad Doja 2 St, Area: Musaffah, Limits By Cmp 00749942, Abu Dhabi, Abu Dhabi, Ae",23:59,08:00,AE,,54.490464,23:59,N,08:00,23:59,AE,REDHA AL ANSARI EXCHANGE,,121.87,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,5d40a16bb83d135ed5000d29125bb84a,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED150720,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/5d40a16bb83d135ed5000d29125bb84a,FALSE,FALSE,,,,,,
NEAR LABOTEL MOSQUE,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50 AM - 11:59 PM,08:50,,23:59,AL FARDAN EXCHANGE LABOTEL,23:59,23:59,Asia/Dubai,23:59,(+971) 2-6766371,08:50,97126766371,2095,Abu Dhabi,AL FARDAN EXCHANGE LABOTEL,6224f8898a76dc688257851586a1eb3f,"24.259739,54.626205",24.259739,ABU DHABI,Bldg Labotel Village Al Mafraq St,08:50,08:50,08:50,N,LIMITS BY CMP 749942,"Bldg Labotel Village Al Mafraq St, Near Labotel Mosque, Limits By Cmp 749942, Abu Dhabi, Abu Dhabi, Ae",23:59,08:50,AE,,54.626205,23:59,N,08:50,23:59,AE,AL FARDAN EXCHANGE,,121.88,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,2c04f858396a673564f00b22a35859fb,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED421112,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,stageAndPay,stageAndPaySend,stageAndPayReceive",ae/abu-dhabi/abu-dhabi/2c04f858396a673564f00b22a35859fb,FALSE,FALSE,Pay for Transfers Started on App,Cash Money Transfer,Pick Up Cash,stageAndPay,stageAndPaySend,stageAndPayReceive
NEAR: 1 TO 10 SHOPPING MALL,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30 AM - 11:00 PM,08:30,,23:00,SHARAF EXCHANGE,23:00,23:00,Asia/Dubai,23:00,(+971) 2-6265501,08:30,97126265501,,Abu Dhabi,SHARAF EXCHANGE,937ebc7d494d65049967352c22aaee34,"24.259823,54.626312",24.259823,ABU DHABI,"Bldg Labotel, Jarn Yafour St",08:30,08:30,08:30,N,LIMITS BY INTL BY AGENT 00950509,"Bldg Labotel, Jarn Yafour St, Near: 1 To 10 Shopping Mall, Limits By Intl By Agent 00950509, Abu Dhabi, Abu Dhabi, Ae",23:00,08:30,AE,,54.626312,23:00,N,08:30,23:00,AE,SHARAF EXCHANGE,,121.89,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,cc3674f61c3cada0d8a62091ce0b767f,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED520738,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/cc3674f61c3cada0d8a62091ce0b767f,FALSE,FALSE,,,,,,
NEAR 1 TO 10 MARKET,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00 AM - 11:00 PM,08:00,,23:00,SHARAF EXCHANGE,23:00,23:00,Asia/Dubai,23:00,(+971) 2-5845890,08:00,97125845890,,Abu Dhabi,SHARAF EXCHANGE,937ebc7d494d65049967352c22aaee34,"24.259823,54.626312",24.259823,ABU DHABI,"Bldg Labotel Camp, Al Mafraq St",08:00,08:00,08:00,N,LIMITS BY INTL BY AGENT 00950509,"Bldg Labotel Camp, Al Mafraq St, Near 1 To 10 Market, Limits By Intl By Agent 00950509, Abu Dhabi, Abu Dhabi, Ae",23:00,08:00,AE,,54.626312,23:00,N,08:00,23:00,AE,SHARAF EXCHANGE,,121.89,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,999de93288f98516bb2fc36cdfe88f5c,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED520541,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/999de93288f98516bb2fc36cdfe88f5c,FALSE,FALSE,,,,,,
NEAR DALMA MALL MUSSAFAH,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30 AM - 11:59 PM,07:30,,23:59,AL ANSARI EXCHANGE,23:59,23:59,Asia/Dubai,23:59,(+971) 2-5503798,07:30,97125503798,,Musaffah,AL ANSARI EXCHANGE,dd695127669a28f6f72eb3d3cad2c218,"24.332551,54.523827",24.332551,ABU DHABI,Bldg Delma Mall Al Wazn St,07:30,07:30,07:30,N,LIMITS BY CMP 749942,"Bldg Delma Mall Al Wazn St, Near Dalma Mall Mussafah, Limits By Cmp 749942, Musaffah, Abu Dhabi, Ae",23:59,07:30,AE,,54.523827,23:59,N,07:30,23:59,AE,AL ANSARI EXCHANGE,,121.92,240,Cash Money Transfer,Mobile Money Transfer,Pick Up Cash,Money Transfer,Money Transfer to a Bank Account,Quick Pay,Quick Cash,ab56b269077a464f6e49c709deefaac3,moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash,8,,United Arab Emirates,AED011328,,,,"moneyTransferSend,mobileMoneyTransfer,moneyTransferReceive,moneyTransfer,directToBusiness,quickPay,quickCash",ae/abu-dhabi/musaffah/ab56b269077a464f6e49c709deefaac3,FALSE,FALSE,,,,,,
NEAR ARZET LEBANON RESTAURANT,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00 AM - 11:45 PM,09:00,,23:45,AL BADER EXCHANGE SHABIYA BRANCH,23:45,23:45,Asia/Dubai,23:45,(+971) 2-5528822,09:00,97125528822,,Abu Dhabi,AL BADER EXCHANGE SHABIYA BRANCH,dc77c4fcbb2898410c94b3bdfebc82da,"24.324914,54.536003",24.324914,ABU DHABI,"Bldg Ali Saeed, Madinat Zayed St",09:00,09:00,09:00,N,DAILY LIMIT RITM0045475,"Bldg Ali Saeed, Madinat Zayed St, Near Arzet Lebanon Restaurant, Daily Limit Ritm0045475, Abu Dhabi, Abu Dhabi, Ae",23:45,09:00,AE,,54.536003,23:45,N,09:00,23:45,AE,AL BADER EXCHANGE,,121.93,240,Pick Up Cash,Money Transfer,Quick Pay,Quick Cash,,,,9495ce4c43b546fd94235fc9014a0fa8,moneyTransferReceive,moneyTransfer,quickPay,quickCash,,,,11,,United Arab Emirates,AJ2170055,,,,"moneyTransferReceive,moneyTransfer,quickPay,quickCash",ae/abu-dhabi/abu-dhabi/9495ce4c43b546fd94235fc9014a0fa8,FALSE,FALSE,,,,,,
