Lat,Lng,Service,City,LocationName,Address,Icon,ViewUrl,Type
24.591553,46.62847,Branches and Sales Centers,Riyadh,Albadiaa,Almedina Almunawara road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
19.127643,41.088685,Branches and Sales Centers,ALQONFODA,Alqonfoda,Almostashfa street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
25.443794,49.569847,Branches and Sales Centers,ALHASSA,Almubarraz,Almubarraz district- Aldhahran street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
24.75409,46.654964,Branches and Sales Centers,Riyadh,Almurooj,Alolaya street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
18.305754,42.698013,Branches and Sales Centers,KHAMIS MUSHAYT,Alqaflah Khamees Mushait,Alqaflah district- king Fahad Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
26.536615,50.025157,Branches and Sales Centers,Qatif,Alqatif,Alqods street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/T9TYxeQ8THCEfnnx9,Men Branch
26.411889,50.079051,Branches and Sales Centers,DAMMAM,Alrawdah,Alrawdah district- prince Naif street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
26.079891,43.979948,Branches and Sales Centers,ONAIZAH,Alrayan,Alrayan street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
26.092194,43.995143,Branches and Sales Centers,ONAIZAH,Alashrafiah,Alsafeer Alshubaili street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.591635,39.236415,Branches and Sales Centers,JEDDAH,Alsamer,Alsamer district- Wohaib bin Omair street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
16.903775,42.549791,Branches and Sales Centers,JAZAN,Jazan,Alshatii district- Alcorniche street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
21.612172,39.119608,Branches and Sales Centers,JEDDAH,King Abdulaziz road,Alshatii district- King Abdulaziz branch road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
21.37562,39.796824,Branches and Sales Centers,Makkah,Alshawqiah,Alshawqiah highway road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
21.375621,39.796824,Branches and Sales Centers,Makkah,Alshawqiah,Alshawqiah highway road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
21.436761,40.483144,Branches and Sales Centers,TAIF,Alhoyah,Alsitten street,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.701569,46.666605,Branches and Sales Centers,Riyadh,Altakhasusi,Altakhasusi street/ northern Maather,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
24.701576,46.666596,Branches and Sales Centers,Riyadh,Altakhasusi,Altakhasusi street/northern Maather,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
18.230924,42.490786,Branches and Sales Centers,ABHA,Al Wasayef,Al-Wasaif - King Abdulaziz Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
18.230924,42.490786,Branches and Sales Centers,ABHA,Al Wasayef,Al-Wasaif - King Abdulaziz Road,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
27.136988,49.568411,Branches and Sales Centers,JUBAIL,Jubail Ind Self Service Center,Beach Road - Jubail Industrial City,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Sales Centers
26.456619,50.114723,Branches and Sales Centers,DAMMAM,Alcourniche,courniche road- Alcourniche,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men & Ladies
24.8098,46.76438,Branches and Sales Centers,Riyadh,Alyarmok,Dammam Rd,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
24.687964,46.775291,Branches and Sales Centers,Riyadh,Alrabwa,Eastern ring road-between exit 14 and 15,/_layouts/15/BAB.V2.Internet.Web/images/bablogo-icon.png,https://goo.gl/maps/xXUPH5bPHGAQ6BQR9,Men Branch
