atmLocations/atmLocationId,atmLocations/name,atmLocations/site,atmLocations/coordinate,atmLocations/emirate,atmLocations/location,atmLocations/status,atmLocations/atmType
feb33cef-3fe9-4f20-997a-314e7cb17c42,Museum Cargo-Al Ghurair EH- Bur Dubai,Public,"25.2610843,55.2856049",Dubai,Museum Cargo Bur Dubai,,C3Pay
14857ed2-1d22-ec11-93a7-8086f2aa5252,Mushrif mall,Public,"24.43391,54.412858",Abu Dhabi,ATM located next to the parking entrance from Airport Road.,,RAKBANK
8efddb48-b9f1-4a51-b71e-71cbe46b6c5a,Nael General Contracting ATM 1 Al Saad Al Yaher Al Ain,Not open to public,"24.205769,55.511472",Al Ain,Al Saad Al Yaher Al Ain,,C3Pay
2ce2597b-6f8b-4a15-8659-6a556780d96d,Nael General Contracting ATM 1 Sweihan Al Ain,Not open to public,"24.4504894,55.0323835",Al Ain,Sweihan Al Ain,,C3Pay
49857ed2-1d22-ec11-93a7-8086f2aa5252,"Nakheel Mall, Palm Jumeirah",Public,"25.114302, 55.138621",Dubai,"ATM located on the ground floor of the drop of area, near to Splash outlet.",,RAKBANK
1e857ed2-1d22-ec11-93a7-8086f2aa5252,Nesto Hypermarket,Public,"25.396268, 55.452901",Ajman,ATM located at the designated lobby area near to the entrance of the Hypermarket,,RAKBANK
77857ed2-1d22-ec11-93a7-8086f2aa5252,Nesto Hypermarket,Public,"25.37062, 55.404974",Sharjah,"ATM located at the main entrance of the hypermarket, opposite to the Zulekha hospital, Butina Area.",,RAKBANK
76857ed2-1d22-ec11-93a7-8086f2aa5252,Nesto Hypermarket - Muwailih,Public,"25.300065, 55.454604",Sharjah,"ATM located at the main entrance of the hypermarket, opposite to the Gems School, Muwailih",,RAKBANK
5a857ed2-1d22-ec11-93a7-8086f2aa5252,Nihal Building,Public,"25.269623,55.381469",Dubai,"ATM located inside ATM lobby of the Nehal building,  near Time hotel, Damascus Road.",,RAKBANK
59857ed2-1d22-ec11-93a7-8086f2aa5252,Nihal Building - 2,Public,"25.269623,55.381468",Dubai,"ATM located inside ATM lobby of the Nehal building,  near Time hotel, Damascus Road.",,RAKBANK
36a58f4c-3945-4d2d-9185-50ac4d890d2d,Power Group Al Jurf Ajman,Not open to public,"25.4375535,55.5246594",Ajman,Al Jurf Industrial Area 1 Ajman,,C3Pay
e140dc88-9804-485f-817d-0b419ce71d94,Power Group Jabel Ali Dubai,Not open to public,"25.0080824,55.1115719",Dubai,Jabel Ali Ind. Area 1 Dubai,,C3Pay
2fc824cc-52a4-4820-92ed-3e68de3430e6,POWER GROUP SONAPUR,Not open to public,"25.2650548,55.4154284",Dubai,Sonapur 2 Muhaisnah,,C3Pay
62857ed2-1d22-ec11-93a7-8086f2aa5252,Public Works & Services Dept,Public,"25.762103, 55.965528",RAK,ATM located inside an ATM cabin in front of the PWD office.,,RAKBANK
4f54b883-2c36-42e2-a265-c1ee50dcb54e,RAK CERAMICS RAK,Not open to public,"25.6811632,55.7823862",Ras Al Khaimah,RAK Ceramics,,C3Pay
61857ed2-1d22-ec11-93a7-8086f2aa5252,RAK Chamber,Public,"25.798169, 55.963714",RAK,ATM located next to the entrance gate of the Rak Chambers of Commerce,,RAKBANK
60857ed2-1d22-ec11-93a7-8086f2aa5252,RAK Courts,Public,"25.776831, 55.935735",RAK,"ATM located in an ATM cabin at the main entrance of the Department of Courts, near the parking area .",,RAKBANK
5f857ed2-1d22-ec11-93a7-8086f2aa5252,"RAK Free Zone, Nakheel",Public,"25.800706, 55.967310",RAK,ATM located at the entrance of the Business Centre 1.,,RAKBANK
6e857ed2-1d22-ec11-93a7-8086f2aa5252,RAK Hospital,Public,"25.768506, 55.976317",RAK,ATM located at the dedicated ATM lobby on the ground floor near to the café shop.,,RAKBANK
5b857ed2-1d22-ec11-93a7-8086f2aa5252,RAK International Airport,Public,"25.617054, 55.941799",RAK,ATM located at the lobby of the Arrival terminal.,,RAKBANK
68857ed2-1d22-ec11-93a7-8086f2aa5252,RAK Mall,Public,"25.772347,55.959144",RAK,ATM located next to the ground floor parking entrance. ,,RAKBANK
48857ed2-1d22-ec11-93a7-8086f2aa5252,Ramla Mall,Public,"24.970707, 55.172079",Dubai,ATM located next to the food court near to the hypermarket entrance,,RAKBANK
f97e4e80-d422-4027-b40e-1f17e7e8b6bf,Reda Al Ansari Exchange Al Rawda 3 AJM,Public,"25.3881665,55.4924984",Ajman ,Al Rawda 3 Ajman  ,,C3Pay
e0c4c5b8-241d-4d9c-8154-d5ad38332f66,Reda Al Ansari Exchange DIP,Public,"24.9795843,55.1587564",Dubai,DIP 1 Dubai,,C3Pay
ccaea8da-1b72-428c-85db-04f66a30ee62,Redha Al Ansari Exchange Al Khurair Al Ain,Public,"24.4966378,55.3398544",Al Ain,"Al-Khurair, Wadi Al-Ain",,C3Pay
7f29c708-3c4b-4537-9e31-f364a58311d2,Redha Al Ansari Exchange Saif Zone Sharjah,Public,"25.3103696,55.4440448",Sharjah,Saif Zone Sharjah,,C3Pay
22857ed2-1d22-ec11-93a7-8086f2aa5252,"Refa Gift Market, Al Ain (Gulf Express hypermarket)",Public,"24.194828,55.756817",Al Ain,"ATM located next to the entrance of the store, Khalifa Bin Zayed Al Awwal street.",,RAKBANK
10857ed2-1d22-ec11-93a7-8086f2aa5252,Rich & Fresh Supermarket,Public,"24.326352, 54.535011",Abu Dhabi,ATM located at the right side of the entrance of the supermarket,,RAKBANK
