ATMS/id,ATMS/name,ATMS/district,ATMS/latitude,ATMS/longitude,ATMS/zoom
BDYNXqjM7eHW9sxuJ6aM,Al Mahata,,31.956202,35.9545179,20
BXnh5lZ6EBAyZHCowH0Y,MISR LANGUAGE SCHOOL,,29.980686,31.12097,20
BbX8iLO4SgCK8a2xPttW,Manaseer Tabarbour,,31.992345,35.936376,20
BuFamaASdwnaNXkG7hgu,Qalqielia ,,32.191303,34.965641,20
BwaASwBSMOI33WMZrrzR,SHOBRA BRANCH ,,30.099964,31.242583,20
BxIjQlspZ4lLVdYbqg2z,HEGAZ BRANCH,,30.110643,31.338541,20
CB5bqO71RdO3IXKu0clk,Tulkarem Al Balad,,32.309878,35.026933,20
CCpHoRCeJpnQpKZJqNEC,Zed Park 1,,30.0426825,30.9938314,20
CV993GHlOA3cvI8FVaQC,Arab Society for Rehabilitation,,31.717344,35.187728,20
CaZASwE1gDJ8Rgm1leA3,Marina Wadi Degla,,29.71797,32.380394,20
CdgqpJx118yV1aAgo3ob,Al-Nijmeh ATM,,32.11436,35.08373,20
ChhxblLBLSz8DKH9Ntm1,Nablus Municipality Mall,,32.221642,35.261478,20
Cqz6anhlPfdGE7ywx3g9,Deir Ibzei,,31.9181397,35.1252526,20
D8gSeAnJLxxFXi1CjYEZ,Al-Manara,,31.905095,35.204723,20
DGqJ57oyDzgGTZ0calRH,KHATEEB WE ALAMY,,30.054567,31.202473,20
DKzpogAFPrMSWu1V49Fs,Open air mall madinaty,,30.10708,31.628826,20
DTes7vE3MghWhhmgyoo1,Al Bireh Cultrual Center ,,31.905331,35.205581,20
DZvq172zWd6AiUH8xIeE,Duwar Al-Sa‰Ûªa,,31.903483,35.203478,20
Di99CX2o7KbEV3QsSBd7,Bravo Bait Wazan,,32.133087,35.121887,20
DrSwGnAWrk0V3ryNvnYa,TANTA  BRANCH ,,30.793676,30.995775,20
DtquV01wnm6yJi3Nopyb,Sigma Building,,31.961569,35.908014,20
DvHgD6R6blShTZm2tKsb,AAST El-Alamein,,30.073471,31.346222,20
DyZsQHrqaructSmEAsTg,Al Aqqad,,32.214628,35.243651,20
E4KL5tAs7P8wS6pi4kaO,Thahriyeh,,31.4091396,34.9740967,20
EkPkHwIFBOJUxF9Js0sw,Ghuweirieh,,32.07177738,36.09446972,20
FCGPU4RKH57MYlRV0ACc,DAR EL FOUAD HOSPITAL,,30.044329,31.295908,20
FJDdyIbLsbaCC9MRW29E,Chillout Khamayel,,30.038731,31.038734,20
FRWEG0y6AHBKnhkSKv64,Petra ,,30.3248568,35.4684285,20
FYmBXx10Uhbu4E34v82J,Qalqilia ZOO,,32.195853,34.969232,20
FbYPMLILqMdpnboLWRc1,Nuzha 2,,31.98508,35.92422,20
FlwUeRZLHreD27klkCXj,Shoman,,31.95064,35.92061,20
FuunPp74xfSYv2CTUPlL,Hyatt Amman Hotel,,31.955892,35.909496,20
GNc8RE1omLM7eR8pP0eX,Jopetrol Al-Fuhies Gate,,32.023906,35.799711,20
GS2HGnDywBbvJQOmjGiW,SAN STEFANO MALL,,31.245466,29.966969,20
GgKSX333zvPRalfkb0GQ,Queen Alia Airport,,31.72183,35.98639,20
GkRxet0U7VjylXeA4fKO,Sanaa ,,15.347721,44.204076,20
GoPbEQG7uNNfyIe7T6ra,Bethlehem University,,31.709586,35.201429,20
GubmUTng6l5cZSFxZPiD,Al Ram ,,31.8487,35.228015,20
GxCVS1szKUI7f1jr8fWO,ZAMALEK BRANCH ,,30.06612,31.221262,20
H3TxkYZzmHVyfPF1Ec0m,egyptian language school kattamya,,29.9927788,31.4241957,20
H53fER0MZFe9JigEEej5,Mu'tah,,31.914,35.85,20
H6rZWRICxQWLxZs05A62,PORTSAID BRANCH,,31.269268,32.30862,20
H8MiX7QhlPhIn99QEfGY,Kia Motors,,31.9432475,35.8491056,20
HE7b4QMoZzFaUqnxEDZb,Al-Debas,,32.310575,35.027917,20
HFwRWjnTFFgjfk8GnfxO,Salfit,,32.082793,35.181098,20
HPVOvlRIIydwhgUfN4wk,Total Mostorod,,30.161587,31.286486,20
HR9y2uIX7biajRnpP6LS,Aqaba Container Terminal ,,29.466405,34.980033,20
HRYJskZGftczuIKJPi4w,City Mall Food Court,,31.980628,35.838336,20
HjtQ2FxnHvwMlnlX6WOm,Total Hurriye Street 1/Drive Thru ATM,,31.895,35.917,20
