branches/id,branches/name,branches/district,branches/latitude,branches/longitude,branches/zoom,,
PiSGjq7Admlw4AVBWnHd,Mall of Egypt ,,29.973,31.016,20,,
QAk96RVQobeISIFvdfz3,Tanta,,30.794,30.996,20,,
QpkqbXnZoE2lxpcruxGt,Madaba,,31.7183,35.792687,20,,
RHFT3OPG0qJVPj3A1lR8,New Zarqa,,32.085709,36.091793,20,,
RctierE3C6BDnHnUWFug,Salt Gate Branch,,32.056901,35.749695,20,,
Ry9Xp2H16289pEAcQUUS,Obour,,30.176,31.474,20,,
RyloR6MoASPnmpbuykN1,Tubas,,32.318745,35.372082,20,,
S4NUX2FK5qZapeuw7NGy,New Maadi,,29.969,31.279,20,,
SAI8WFuy7n3rYkfArVbo,Al-Bireh,,31.906707,35.210892,20,,
SDjaKWZFJf3FKUxyEdpw,Thawra,,30.048,31.206,20,,
STgeJztRFBWrcr6PLlok,Alexandria,,31.197,29.8985,20,,
SfST47QaVFw3sR1KObmy,Ein Sara,,31.553132,35.098196,20,,
Stnyib2HhElxO2ZEWQZK,MSA,,29.956,30.958,20,,
TOQzyW7R9q38HFLM5TMf,Nuzha,,31.98508,35.92422,20,,
TTjwB32cj1mj1VywmKkX,Tagamoa El Awel,,30.053,31.432,20,,
UHA1PttCG6Pn2XZnyks6,Mansoura,,31.047,31.376,20,,
UexvNWYbqOtzg8Uypmfy,Sports City,,31.990121,35.911336,20,,
V3no7vbru6b9cth53I3r,Verdun,,33.886502,35.483635,20,,
V8sQnwclTpJrdIPDzFfp,Bethlehem,,31.70766,35.20512,20,,
Veu0gxSiivfOzaE6WHPe,Arkan ,,30.02059,31.00528,20,,
VhVQTuofwYZ1ZuvpsBwb,Tagamoa,,30.018,31.418,20,,
W3HAWrCMcvXVOENoe8au,Al-Khader ,,31.694233,35.171646,20,,
Wvu4OPKKcbtaYT5F5O7Q,Airport Road Branch,,31.92234,35.85925,20,,
XEHWcZeXKzjzm3mrgJl8,Wadi Mousa,,30.321813,35.479891,20,,
XdbVuUkeoGtlNOJKTIGU,Hurriyyah Mall Branch,,31.90378,35.8878,20,,
XeMLvOdzASZ70gO9L6Fk,Maan,,30.2021556,35.729941,20,,
YO6CmKH9uSs6b8j4rI0H,Geziret El Arab,,30.056,31.202,20,,
YdHAhS1oQaJRECtOs7R2,Luweibdeh,,31.956,35.9276,20,,
YkseAuYkk0yMlolHY9o9,Maadi,,29.95663,31.26083,20,,
bGw1wBK9jZ6XkMZ8tJlB,Cairo,,30.0515,31.247,20,,
bW5mwkYXIQsvdGssZpT2,Abdali Mall,,31.9635151,35.9076242,20,,
c8kkHYjA9YACYhODNjeS,Ashrafieh,,31.940617,35.938348,20,,
cBTKQBHOn2oTM9Cod9eT,MUST,,29.996,30.966,20,,
ci89DlPpzajGwDakR9dE,Al-Ram,,31.8487,35.228015,20,,
dy0ih3W9CpdYIjBtGGCD,Abdoun,,31.948412,35.893375,20,,
e9oCeSSXuWsF11EXWZd3,Tafileh,,30.836756,35.605161,20,,
fE9fHTYwLhaHVoYZqsEF,Tripoli,,34.436817,35.836486,20,,
fFOzGP2BMnOm0OZmMIwG,Nablus Branch,,32.221524,35.260717,20,,
fO7qIkd9ExPm3pDrJtfy,Salfit,,32.08272,35.180476,20,,
fbwNWbYvLV1m3eBITh6n,Jabal Hussein,,31.968385,35.914567,20,,
gdDrgQlbBG9xb1wNBa2y,Madeenah Monawara,,31.99739,35.871515,20,,
gs4qGTlR7e2tbdGg1xMK,Abu Nussair,,32.051198,35.8825168,20,,
hU95KpvpJtut0cgDmnzL,Roxy,,30.089,31.311,20,,
hgkY4e4lsNTXlDJbbkUi,Aqaba,,29.528256,35.004276,20,,
i7JpjJg2raHB67Rsymsg,Al Masyoon,,31.889674,35.200442,20,,
iHpkwmQFlvUTpgpDtHhU,Haram,,30.01,31.202,20,,
il241l41zHu55cGTtDEn,Asyut,,27.190062,31.18642,20,,
jK6XUpKpqbhn0hvQ2R4q,Betonia,,31.898759,35.178149,20,,
jaZiaVAh6rXpjZ2dRg1g,Zizinia,,31.24051,29.96362,20,,
k5QMmS6cdglNuZzx1YW4,Bethany Branch,,31.768972,35.254714,20,,
kELWaNFLoxeNe9dLx7WK,"10th, of Ramadan",,30.307,31.713,20,,
lJftXfT7cicFdSTYjIHp,Ras Beirut,,33.89661,35.480862,20,,
lp63hiaX7djV4AuzL0j1,Applied Science University,,32.041179,35.902835,20,,
lsu0aKboZOgVCnhAsg1e,Hai al basateen,,32.468781,35.301834,20,,
n1NAOyRVBhnCP6zeDOjk,Jerash,,32.277001,35.89449,20,,
nDXmvr4nlifvEyUATMYF,waterway ,,30.042,31.475,20,,
oC7Kqrkefu73gS2MhfJG,Fuheis,,32.0023394,35.7761172,20,,
oDzmSm3ZJ20ylGXqQO43,Thaqafa Branch- Irbid ,,32.538827,35.876161,20,,
ohDjKgMXO0OLrX8qLkHI,Beirut,,33.895853,35.503049,20,,
p1ogA3e00Mu0zUk5rhPX,Askar Branch,,32.214053,35.2915,20,,
pIErok2NcvR5wB1iaUBp,Sodic,,30.059,30.94,20,,
pY5v2mCYWqKjU85DmRxa,Shobra,,30.1,31.243,20,,
qEtRfdUWnIP9MNyzplYd,Shmeisani,,31.965306,35.898637,20,,
qtZ5U9fTLoHIJ3AXOeyi,Smouha ,,31.209,29.94,20,,
rfL9xV9IjvLV0oP1G1f5,Portsaid ,,31.269,32.309,20,,
rjMxmFU3XdtZIXjeWazy,Thaniyah Branch,,31.167379,35.73468,20,,
skPn9YKFrlbx6YJOIWmD,Bedia ,,32.11474,35.079528,20,,
swVfuUaUPbECd1tKeONh,Fifth Circle,,31.961352,35.879197,20,,
toVgzLFPjM3pcCnb5YRd,Gardens,,31.985183,35.881922,20,,
uI33yMmglAaCVxtUFbZ5,Dokki,,30.043,31.203,20,,
vq1OIvHFn0CQOGHm6Naa,Hodidah,,14.802932,42.943282,20,,
wCH5HOoioWrt83NuMEDp,Al-Rimal,,31.519709,34.445379,20,,
wQzhfWc3JziaTnB7swfy,Queen Alia Airport,,31.7216455,35.986339,20,,
wTgM40NcQlXkSeiucd67,Hazmieh,,33.851111,35.540028,20,,
wgzB6wwkdAK0OGFT7Q99,Sheraton,,30.099,31.373,20,,
x9OBjA9VovVCF5HRjtUf,Jabal Amman,,31.953032,35.911785,20,,
xLJM0ztTkbYi687VS0cg,Smart Village,,30.081,31.018,20,,
xSfvG1WndzKGvVsCYi56,Qalqiliya,,32.191303,34.965641,20,,
xroWNfQr3gHpUQicVESC,Al-Shalala,,31.525261,35.106844,20,,
xu4Xo2gGErmq8dVva97f,6 th of October,,29.971,30.942,20,,
z3flNQY9xJ6gzKA6b2Tv,Madaba Street,,31.914785,35.938468,20,,
zczmrWeWsuu9tMjthAxK,Mafraq,,32.343654,36.210135,20,,
19fW8GtdWT0PJWClwlY2,Abu Dhabi Branch,,24.483529,54.353306,20,,
1q8gFlDVtMcQAGgGQ7Be,Manama (Main Branch),,26.241,50.589,20,,
6FCmZSKnjby8bryRGWsd,Al Zahiya Branch,,24.495341,54.376176,20,,
9IzMJEGiNBYd9K8ulTat,Sharjah Branch,,25.336307,55.375641,20,,
BK1WJOmnOD7ZkMchNCMe,Salwa Branch,,25.251024,51.473847,20,,
Ck97ingwzxuNmj40rMux,Doha Branch,,25.282114,51.535653,20,,
CsIoVlVihKeKN3cWmVYo,Business Bay Branch,,25.192096,55.262058,20,,
CzrZNIqN93Vb87vBg03V,Muharraq,,26.2793344,50.6621753,20,,
O8pdBH9ZrrHJUJGxJNIc,Aden,,12.791515,45.004372,20,,
RC9Rpc6QoHNpctgXOkfJ,Dubai Branch,,25.258105,55.321354,20,,
UXQ4AN0OzXSLWqaaJhD1,Mukalaa,,14.534725,49.125575,20,,
UnoG8dKQ9jp3MOw6gvH6,Al Ain Branch,,24.221719,55.758532,20,,
WWDxcE1mVLmhQG2tIRol,Seef,,26.237,50.543,20,,
Wi6IdyreaWnDWNFPA4g1,Doha,,25.282114,51.535653,20,,
XZmGYdxbC7TieOQwfS7P,Hamad Town,,26.149,50.487,20,,
jwcpCcKh2s9duCF6Li16,Ras Al Khaima Branch,,25.795198,55.970382,20,,
skFniRrv7iVYXhdLTJuf,Sheikh Zayed Road Branch,,25.130826,55.21095,20,,
vlyK53FrHNptSjPhkVLW,Riffa,,26.141389,50.579255,20,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
