priority,objectId,cityName,latitude,longitude,address/en,address/ar,storeStatus/value,storeStatus/label/en,storeStatus/label/ar,openingHours/en,openingHours/ar,distance/value,distance/unit/en,distance/unit/ar
241,4693,AL MUBARRAZ,25.415855,49.555843,Abou Miyah St. Al-Mahasin district,المبرز محاسن شارع ابو ميه مقابل مستوصف فيصل  ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
242,4694,AL HOFUF,25.418701,49.676037,Al Qaraah Main Street ,شارع القرة الرئيسي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
243,4695,DAMMAM,26.411982,50.0459,Giant Stores beside STC outlet & behind the mowasah hospital,مجمع بنده بجانب فرع الاتصالات خلف مستشفى الموساه,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
244,4696,KHAFJI,28.462683,48.4857,"Al Faihaa, King Abdulaziz Rd.","الفيحاء, شارع الملك عبد العزيز",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
245,4697,AL MUBARRAZ,25.407875,49.59545,Al-Nagah St. in front of Al-Mobaraz boys high school. Al-Mobaraz district,"حي المبرز, طريق الناقة , مقابل مدرسة المبرز للبنين الثانوية",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
246,4698,AL JUBAIL,26.98814,49.64654,Intersection of 60 St. with King Faisal Rd.,تقاطع شارع الستين مع طريق الملك فيصل,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
247,4699,AL HENAKIYAH,24.87095,40.512592,Main RD. in front of the city's main hospital,الحناكيه ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
248,4700,MEDINA,24.446226,39.621258,Rawabi Quba`a mall Prince Abdul Majeed street  ,حي الجمعه .. روابي قباء مول ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
249,4701,SAKAKA,29.977848,40.204407,Al-Shalhob district - Main Sq. beside king Abdul Aziz St.,سكاكا حي الشلهوب شارع الملك عبد العزيز,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
250,4702,SABYA,17.1524,42.65193,In front of the Sabya Girls College,مقابل كلية البنات بصبيا,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
251,4703,ABHA,18.21895,42.494717,"Khaldia district, Al-Qabil St. Al-Samer residential complex",حي الخالدية ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
252,4704,SHARORAH,17.489634,47.11405,Omar Ebin Al-Khatab St. in front of Bank Al-Riyadh,شارع عمر بن الخطاب امام بنك الرياض,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
253,4705,AD DARB,17.730083,42.255882,Al-Darb - main street - Beside the STC retail outlet,الدرب الشارع العام بجوار مكتب الاتصالات السعودية,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
254,4706,JEDDAH,21.543234,39.216644,"40st , Tamimi bldg 3 ",جدة شارع  الأربعين حي الرحاب بناية التميمي بجوار مدارس المنارات  ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
255,4707,JEDDAH,21.56065,39.202618,"70st, next to Al Tazej",حي العزيزية - شارع السبعين - ابراج البسمة - قبل مطعم الطازج,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
256,4708,MAKKAH AL-MUKARRAMAH,21.407654,39.794334,Al Nakheel Plaza  (New Mall),الرصيفه - النخيل بلازا مول ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
257,4709,JEDDAH,21.593407,39.204144,"North Jeddah, 40 St. Near the Buriman prison",حي بريمان- شارع الاربعين - امام مركز عبداللطيف جميل للتأهيل,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
258,4710,MAKKAH AL-MUKARRAMAH,21.448626,39.862747,Al-Adl St.,حي العدل جوار مستشفى السلام مقابل مكتبة جرير,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
259,4711,KHULAIS,22.1434,39.344185,Al-Madaris st.,"خليص , شارع المدارس",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
260,4712,RIYADH,24.76422,46.714397,"AL Nuzhah district, Othman Bin Affan St.SPAR Market","حي النزهة , شارع عثمان بن عفان , سبار ماركت",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
261,4713,RIYADH,24.71023,46.691807,"Al Sulimanyah district, Prince Mamduh st.","حي السليمانية, شارع الأمير ممدوح",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
262,4714,MAKKAH AL-MUKARRAMAH,21.44004,39.813137, Al Otibia district ,حي العتيبة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
263,4715,DAMMAM,26.379105,50.058865,"Abo Baker street, Infront of Saad Al Deen Pastry, Al Faisaleah district",حي الفيصلية طريق ابو بكر مقابل حلويات سعد الدين,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
264,4716,HAIL,27.509136,41.665344,"Alwusayta district,King Fahad Road.","حي الوسيطة , شارع الملك فهد",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
265,4717,MEDINA,24.44694,39.59185,Omar Ibn AL Khatab Rd. AL Dahira District,حي الضهيرة شارع عمر بن الخطاب,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
266,4718,RIYADH,24.685587,46.582993,"Prince Meshal Rd, Irqa District",حي عرقة طريق الامير مشعل,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
267,4719,MAKKAH AL-MUKARRAMAH,21.472683,39.9278,AL KHADRA North district â Mohammed Saleh Ibrahim Khozami â Shop # 9,"حي الخضرة الشمالي,  محمد صالح إبراهيم الخزامى",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
268,4720,RIYADH,24.729765,46.78674,Khurais St.,طريق خريص - تقاطع خريص مع خالد بن الوليد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
269,4721,BURAYDAH,26.3534,43.95442,Khubaib St.- Kesa'ei center,الخبيب - طريق الملك عبدالعزيز,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
270,4722,UNAYZAH,26.091982,43.996933,Zulfi Rd. ,عنيزة طريق الزلفي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
271,4723,AL QUWAIIYAH,24.056107,45.267582,"Main st - King Abdulaziz st, beside Main Hospital",طريق الملك عبدالعزيز بجانب مستشفى القويعية العام,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
272,4724,AZ ZULFI,26.305777,44.829323,Intersection of the King Abdullah & King Fahd St. Beside the new Rajhi bank.,الزلفــي ــ تقاطع الملك عبدالله مع الملك فهد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
273,4725,AFIF,23.890928,42.90737,Main RD.  ,عفيف . طريق عفيف العام مقابل الامارة ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
274,4726,WADI AD-DAWASIR,20.472298,44.78527,"Al-Khamis, main St. beside Injaz",وادي الدواسر- حي الخماسين -الشارع العام- بجوار بنك تلي موني,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
275,4727,AL DUWADIMI,24.520351,44.417427,Main st. beside Al-khaleg Optical center,طريق الملك عبدالعزيز بجانب مركز الخليج,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
276,4728,AL MITHNAB,25.860033,44.22043,King Abdul Aziz St. infront of the municipality building,المذنب طريق الملك عبدالعزيز أمام مبنى البلدية ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
277,4729,RIYADH,24.616175,46.738163,Intersection Manfohha 60th street with Gobira st,المنفوحة شارع الستين,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
278,4730,RIYADH,24.79676,46.778694,"Ishbilia district, Ext. 9 Emam Saud St. ",حي اشبيليا مخرج 9 شارع الامام سعود,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
279,4731,RIYADH,24.801622,46.739746,"Quortoba Mall, Shop#6, Khalid Bil Al Walid St","شارع خالد بن الوليد, مول قرطبة, متجر رقم 6",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
280,4732,RIYADH,24.588106,46.76066,Al Aziza Beside Al Anma`a Bank ,"العزيزية, بجانب بنك الانماء",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
281,4733,RIYADH,24.577694,46.578415,Bilal bin Rubah street â Tuwaiq District,"حي طويق,شارع  بلال بن ربعة",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
282,4734,RIYADH,24.753742,46.81665,Al Nahda district Salman AL Farsi St.,"حي النهضة, شارع سلمان الفارسي",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
283,4735,BURAYDAH,26.315348,44.02755,"AD DAHI district, Panda supermarket","حي الضاحي, بندة",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
284,4736,YANBU,24.091784,38.090134,King Khaled st. AL Takhi district,حي التآخي طريق الملك خالد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
285,4737,AL JUBAIL,27.009094,49.66062,"Albalad , Alsafa St","الجبيل , شارع الملك عبدالعزيز حي الصفا مقابل التلي موني البنك العربي ",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
286,4738,KHAFJI,28.41595,48.484234,Al-Baladiah St.,الخفجي شارع البلديه ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
287,4739,HAFAR AL BATIN,28.441715,45.971455,King Abdul Aziz St. beside Azizyah  market place,حفرالباطن  شارع الملك عبدالعزيز بجانب سوق العزيزيه المركزي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
288,4740,RAS TANURA,26.706984,50.054768,King Abdullah St. beside the Rajhi Bank,راس تنوره  شارع الملك عبد العزيز بجوار  بنك  الراجحي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
289,4741,DAMMAM,26.410612,50.097702,Othman Bin Afan St. beside STC. Moraikabbat district,الدمام  حي الريان شارع عثان بن عفان مقابل مستشفي الملك فهد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
290,4742,YANBU,24.014584,38.215633,Yanbou Al-Bahr - Royal District (Al Bustan center),ينبع الصناعية,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
291,4743,MEDINA,24.456255,39.61543,"Qurban Road, AL Wqaisi Building",المدينه شارع قربان,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
292,4744,SAKAKA,29.956028,40.201157,Transportation St. infront of ministry of Al-Awqaf ,سكاكا مقابل وزارة الاوقاف ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
293,4745,DUMAH AL JANDAL,29.807632,39.860188,Commercial area beside Abdul Latif Gamil,المنطقه التجاريه بجوار عبد اللطيف جميل ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
294,4746,TURAIF,31.673607,38.676968,20 St. infront of the green wing residential suites,طريف شارع 20 امام الاجنحه الخضراء السكنيه ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
295,4747,ARAR,30.958595,41.043404,25th St. the first building from the main street side,حي النسيم شارع الحزام الشرقي  بجوار شركة المراعي ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
296,4748,KHAMIS MUSHAIT,18.246468,42.766884,"King Khaled Road, AL Zaiton District",حي الزيتون طريق الملك خالد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
297,4749,MEDINA,24.437681,39.6354,ALHejra Rd. Al Eskan District,حي الاسكان طريق الهجرة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
298,4750,JAZAN,16.898733,42.549168,Town Center  Ex. STC,وسط البلدطريق الملك فهد بجوار الفالح للرياضه ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
299,4779,RIYADH,24.817348,46.78271,"Dammam High way West, Panda Market ",شارع الدمام السريع - غرب - سوق بندة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
300,4780,RIYADH,24.725235,46.815548,"Abdullah Ibn Masud St, An Nasim Al Gharbi district",شارع عبد الله بن مسعود - حي النسيم الغربي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
301,4781,AL-AFLAJ,22.286118,46.727848,"king abdulaziz infront of ministry of education, Beside AL Nahdi Pharmacy ","شارع الملك عبد العزي,  أمام وزارة التربية والتعليم ، بجانب صيدلية النهدي",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
302,4782,AL KHOBAR,26.305208,50.194733,"Prince Faisal Bin Fahad Road, AL Hizam Al Akhdar district","شارع الامير فيصل بن فهد , حي الحزم الاخضر",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
303,4783,JEDDAH,21.792767,39.132484,Prince Naif St. in front of Pizza Hut & McDonald's,"شارع الامير نايف , مقابل ماكدونالدز و بيتزا هت",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
304,4784,BURAYDAH,26.37495,43.916016,"King Abdulaziz Rd, AL Bishr district",حي البشر - شارع الملك عبد العزيز,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
305,4785,BURAYDAH,26.326567,43.952232,"Prince Faisal Ibn Mishaal Ibn Saud Road, Al Safa district",حي الصحافة -شارع الامير فيصل بن مشعل بن سعود,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
306,4786,RIYADH,24.77945,46.7378,Al Imam St. Ash Shuhada district,حي الشهداء - شارع الامام,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
307,4787,RIYADH,24.758682,46.674316,King Abdulaziz Rd. Al Maseef district ,حي المصيف - شارع الملك عبد العزيز,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
308,4788,RIYADH,24.820118,46.64235,"King Abdul Aziz Branch Rd Cross Anas Ibn Malik Rd, Al Yasmin district ", حي الياسمين تقاطع شارع الملك عبد العزيز مع انس ابن مالك,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
309,4789,RIYADH,24.78095,46.83222,"Al Basala St, Al Maizilah distrect",حي الميزلة - شارع البسالة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
310,4790,RIYADH,24.726767,46.83777,Hassan Ibn Thabit St. An Nasim Ash Sharqi distrect,حي النسيم الشرقي - شارع الحسن بن ثابت,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
311,4791,RIYADH,24.648184,46.55385,"Taif St. Exit 34, Laban Distrect",حي لبن - شارع الطايف مخرج 34,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
312,4792,RIYADH,24.82,46.686234,"Uthman Ibn Affan Rd, An Narjis district,  AL Tamimi Supermarket",حي النرجس - شارع عثمان بن عفان,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
313,4793,RIYADH,24.8287,46.8106,Aal Qadesiah Plaza-Dammam Rd ,القادسية بلازا - شارع الدمام,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
314,4794,RIYADH,24.575665,46.749966,Joud Center- Al Hair Rd AL Dar AL bida district,حي البديعة - شارع حائر - جود سنتر,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
315,4795,RIYADH,24.7866,46.6874,"Al Bahar Al Ahmar St, Al Wadi district",حي الوادي - شارع البحر الاحمر,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
316,4796,AL KHOBAR,26.201918,50.209435,"Abdulrahman Ibn Muath St, Al Jisr district",حي الجسر - شارع عبد الرحمن بن معاذ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
317,4797,AL KHOBAR,26.26915,50.2131,"King Fahad RD, Al Khobar Al Janubiyah",حي الخبر الجنوبية - شارع الملك فهد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
318,4798,DAMMAM,26.441267,50.12308,King Saud st. Al Mazruiyah district,حي المزروعية - شارع الملك سعود ,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
319,4799,MEDINA,24.45105,39.51013, AL Emam AL Bukari St. Ad Difa district,حي الدفاع - شارع الامام البكري,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
320,4800,MEDINA,24.42145,39.528866,"Salim ibn 'Amr, Al Aziziyyah district ",حي العزيزية - شارع سليم ابن عمر,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
321,4801,TABUK,28.4335,36.5373,Amro Ibn AL Aas St. Almasif district,حي المصيف - شارع عمرو ابن العاص,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
322,4802,TABUK,28.429873,36.562744,Abdulmosen AL Bazei St. AL Moroj 2 district ,حي المروج 2 - شترع عبد المحسن البازي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
323,4803,AL JUBAIL,27.137333,49.568367,"Galleria Mall, Al Fanateer district, industrial city",حي الفناتير - جاليري مول,Open,Open,مفتوح,Sat – Thu: 08:00 AM - 04:00 PM,السبت - الخميس: 08:00 ص - 04:00 م ,,,
324,4804,BURAYDAH,26.39605,43.949566,"King Khalid Rd, Al Worod district","حي الورود, شارع الملك خالد",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
325,4805,UYUN AL JAWA,26.502934,43.636734,king Fahad Rd. AL Khazan district,"حي الخزان , شارع الملك فهد",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
326,4806,RIYADH,24.818,46.59245,King Salman Rd. Al Qirawan district,"حي القيروان , شارع الملك سلمان",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
327,4807,RIYADH,24.708317,46.6277,AL Raed Avenue,الرائد افينيو,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
328,4869,RIYADH,24.787193,46.61397,"Imam Saud Bin Faisal St , Al Malqa district","حي الملقا , شارع الامام سعد ابن فيصل",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
329,4870,RIYADH,24.814186,46.658283,"Abdullah Al Othaim Markets, Al Fajr St. Al Yasmin district","حي الياسمين ,شارع الفرج",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
330,4871,RIYADH,24.769667,46.664917,"North Ring Road, Al Ghadeer Square","الدائري الشمالي, مجمع الغدير",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
331,4872,AL KHOBAR,26.2902,50.199017,"Prince Humud St, Al Aqrabiyah district",حي العقربية,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
332,4873,DAMMAM,26.421787,50.002846,"Dahyat Al Malek Fahad, Hammad Ibn Osama st.",ضاحية الملك فهد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
333,4874,MEDINA,24.4221,39.636215,"King Abdullah Roa, AL Sad district","حي السعد , شارع الملك عبد الله",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
334,4875,RIYADH,24.80639,46.869526," Imama Abdullah Bin Saud St, Al Janadriah district","حي الجنادرية , شارغ الامام عبد الله",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
335,4876,AL MUBARRAZ,25.393724,49.606796,King Fahad Rd. Al Andalus district,حي الاندلس طريق الملك فهد,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
336,4877,MEDINA,24.492783,39.591118,"Mobily Building, King Abdullah Road. ","شارع الملك عبد الله, مبنى موبايلي",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
337,4878,HAFAR AL BATIN,28.358238,45.96242,King Abdulaziz Rd. AL Makan Mall,مكان مول,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
338,4879,SABYA,17.149649,42.64447,"AlSalhi Commercial Complex,  King Abdulaziz Rd.",مجمع الصالحي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
339,4880,JAZAN,16.929108,42.558132,Prince Mohammed Ben Abdulaziz St. Ash Shati 6 District,"شارع الامير محمد بن عبد العزيز, حي الشاطيئ",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
340,4881,RIYADH,24.68034,46.701645,"Al Othaim Markets, Prince Abdulaziz Ibn Musaid Ibn Jalawi St (Al Dabab), As Sulimaniyah district","اسواق العثيم, حي السليمانية, شارع الضباب",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
341,4882,RIYADH,24.573027,46.63526,"AL Othaim Markets, Hamzah Ibn Abdul Muttalib St, As Suwaidi Al Gharbi District","اسواق العثيم, حي السويدي الغربي, شارع حمزة بن المطلب",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
342,4883,TABUK,28.3699,36.5635,"Ya qout Al Hamawi, Alhudaibah district","حي الحديبية, شارع الياقوت",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
343,4884,MEDINA,24.456778,39.655388,"Prince Mohammed Bin Abdulaziz St, Al Khalidiyyah District","حي الخالدية , شارع الامير محمد بن عبد العزيز",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
344,4885,MEDINA,24.469261,39.63173,King Abdulaziz Rd. Bani Dhafar district,"حي بني ظفر, شارع الملك عبد العزيز",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
345,4886,RIYADH,24.817022,46.66585," Lulu Hypermarket, The Roof Mall, Abi Bakr As Siddiq st, Al Yasmin district","لولو هايبر ماركت , طريق ابو بكر الصديق , حي الياسمين",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
