priority,objectId,cityName,latitude,longitude,address/en,address/ar,storeStatus/value,storeStatus/label/en,storeStatus/label/ar,openingHours/en,openingHours/ar,distance/value,distance/unit/en,distance/unit/ar
167,4603,SHAQRA,25.237122,45.247597,Intersection of King Abdullah & King Saud street beside Al-Belad Bank,مدينة شقراء تقاطع شارع الملك عبدالله مع شارع الملك سعود,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
168,4604,RIYADH,24.629639,46.737656,"Exit 17 Raghadan, Al-Senaya","مخرج 17 , رغدان , السناية",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
169,4605,RIYADH,24.604435,46.732815,Al Mansourah Al Hamara PlazaÂ  â Shop# 25,"المنصورة , الحمرا بلازا",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
170,4606,RIYADH,24.665176,46.708607,"Al Dabab Center  beside Al Enma`a Bank  , in fron of BMW Dealer","الضباب, بجانب بنك الانماء",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
171,4607,RIYADH,24.81689,46.892574,"Al-Nazeem district, Al-Taroth St. in front of Al-Nazeem Elementary School for Boys",حي النسيم طريق مقابل مدرسة النسيم للبنين,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
172,4608,HOWTAT BANI TAMIM,23.488451,46.868046,Al-Islamiyah district. Al-Mohamadia St. ,"حي الاسلامية , شارع المحمدية",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
173,4609,AS SULAYYIL,20.461235,45.58328,"Al-Mohamed district, infront of Al-Sulayyil governorate building","حي المحمد , مقابل مبنى السليل الحكومي",Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
174,4610,DAMMAM,26.411196,50.033463,91 Dist in front of Toyota Co.,مخطط 91 مقابل تويوتا شارع التجاري بحي احد مقابل حي بدر,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
175,4611,UMLUJ,25.037216,37.261417,Main St. between Al Rajhi Bank and Riyadh Bank,أملج,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
176,4612,TAYMA,27.630056,38.549305,"King Abdulaziz street, opposite Rajhi bank, beside Dubai for communication",شارع الملك عبدالعزيز مفابل بنك الراجحي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
177,4613,TABUK,28.384836,36.578102,"Airport RD. beside the Moroj hotel, Saudi Holandi bank & I2 retail shop",شارع المطار بجانب فندق المروج والبنك الهولندي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
178,4614,MEDINA,24.475368,39.64698,Prince Mohammed Bin Abdul Aziz st.,شارع الامير محمد بن عبد العزيز,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
179,4615,MEDINA,24.455475,39.544006,Al-Azizyah Mall,المدينة المنورة - العزيزية مول,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
180,4616,TABUK,28.423018,36.571423,"District Al Mroruj , Beside NCB & Front of Bazai Mosque",حي المروج مقابل مسجد بازاي,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
181,4617,KHAMIS MUSHAIT,18.300367,42.722816," Al Khaldyah District- 30 street, - Mobiles Market - near Al Rajhi bank and Dar Al Safwah telecommunication shop.",الخميس الخالدية شارع الثلاثين,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
182,4618,JEDDAH,21.576366,39.219334,Um el Qurah street,شارع ام القرى - حى الصفا جدة,Open,Open,مفتوح,Sat – Thu: 09:00 AM - 11:00 PM,السبت - الخميس: 09:00 ص - 11:00 م ,,,
