data/name,data/address1,data/address2,data/address3,data/country,data/lat,data/lng,data/phoneNumber,data/faxNumber,data/information,data/type,data/externalLocationId,data/locationId
Dubai Airport Terminal 3,"Inside Dubai International Airport Terminal 3, Arrivals Area",Dubai,,,25.245472,55.359957,,,Working Hours:<br/>Monday to Thursday: 24 hours<br/>Friday: 24 hours<br/>Saturday: 24 hours<br/>Sunday: 24 hours <br>Consumer services only,BusinessCenter,20220122,20220122
Al Tawar Business Center,Flagship Store,"Inside Al Tawar Municipality Building, Al Tawar",Dubai,,25.263013,55.384997,,,Working Hours:<br>Monday to Thursday: 08am - 05pm<br>Friday: 08am - 12pm<br>Saturday: 08am - 5pm<br>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220123,20220123
Al Wasl Business Center,Flagship Store,Etisalat building near AL Murooj complex,Dubai,,25.203878,55.274784,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220124,20220124
Deira Business Center,"Etisalat Building, Baniyas Street",Dubai,,,25.262712,55.31437,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: Closed <br>Consumer & business services,BusinessCenter,20220125,20220125
Al Kifaf,"Etisalat Building, Al Kifaf Area, Opposite Al Jafiliya Metro Station",Dubai,,,25.231274,55.291398,,,Working Hours:<br/>Monday to Thursday: 08am - 05pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 05pm<br/>Sunday: Closed <br>Consumer services only,BusinessCenter,20220126,20220126
Mall of the Emirates,"Inside Mall Of The Emirates, Sheikh Zayed Road,",Dubai,,,25.118447,55.200619,,,Working Hours:<br/>Monday to Thursday: 10am - 11pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220128,20220128
Al Fahidi OL,Flagship Store,"Etisalat Building, Al Mankhool Road, Dubai",,,25.257335,55.297236,,,Working Hours:<br/>Monday to Thursday: 8am - 6pm<br/>Friday: 08am - 12am<br/>Saturday: 08am - 06pm<br/>Sunday:closed <br>Consumer & business services,BusinessCenter,20220129,20220129
Ibn Battuta Mall - Tunisia Court,"Inside Ibn Batuta Mall, Sheikh Zayed Road",Dubai,,,25.044546,55.120294,,,Working Hours:<br>Monday to Thursday: 10am - 10pm<br>Friday: 10am - 12am<br>Saturday: 10am - 12am<br>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220130,20220130
Dubai Mall 2,"Inside Dubai Mall, Near to Emaar Office, Dubai,",Dubai,,,25.19747597,55.27949094,,,Working Hours:<br/>Monday to Thursday: 10am - 11pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220131,20220131
Burjuman Metro,"Inside Rta Metro Station, Burjuman",Dubai,,,25.254692,55.303828,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am -10pm<br/>Saturday: 10am - 10pm<br/>Sunday: 02pm - 10pm <br>Consumer services only,BusinessCenter,20220132,20220132
Mirdif City Center,"Inside Mirdif City Center, Mirdif, Near Dubai Tennis Academy",Dubai,,,25.21818125,55.40834426,,,Working Hours:<br/>Monday to Thursday: 10am - 12am<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220133,20220133
Festival City,"Inside Dubai Festival Centre, Dubai Festival City,",Dubai,,,25.22363121,55.35554766,,,Working Hours:<br/>Monday to Thursday: 10am - 12am<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220134,20220134
Deira City Center - Level 1,Inside Deira City Centre,,,,25.252744,55.331578,,,Working Hours:<br/>Monday to Thursday:10am to 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220135,20220135
Bay Avenue - Block G,"Inside Bay Avenue Shopping Centre, Business Bay",Dubai,,,25.189914,55.265578,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 10pm<br/>Saturday: 10am - 10pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220136,20220136
Hatta Service Centre,"Inside Emirates Cooperative Society Building,",Hatta,Dubai,,24.816582,56.133227,,,Working Hours:<br/>Monday to Thursday: 08am - 06pm<br/>Friday: 08am - 12pm<br/>Saturday: 08am - 06pm<br/>Sunday: 08am - 06pm <br>Consumer & business services,,20220137,20220137
The Pavilion - International City,"Inside International City Pavilion, International City",Dubai,,,25.158937,55.404739,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 10pm<br/>Saturday: 10am - 10pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220138,20220138
Dubai Marina Mall,"Inside Marina Mall, Sheikh Zayed Road",Dubai,,,25.07703248794649,55.140503999884544,,,Working Hours:<br> Monday to Thursday: 10am - 12am <br>Friday: 10am - 01am <br>Saturday: 10am - 01am <br>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220139,20220139
First Avenue Mall,"Inside Motor City,",Dubai,,,25.045688,55.240351,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 10pm<br/>Saturday: 10am - 10pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220140,20220140
Nakheel Mall Retail store,Palm Jumeirah â€“ Level G Opposite to Waitrose supermarket entrance,Dubai,,,25.114574,55.138793,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220141,20220141
CITY LAND,"Wadi Al Safa 4, Beside Global Village - E311",Dubai,,,25.0644839322792,55.3032991974212,,,Working Hours:<br>Monday to Thursday: 10am - 10pm<br>Friday: 10am - 10pm<br>Saturday: 10am - 10pm<br>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220142,20220142
Mercato Retail Store,"Inside Mercato Shopping Mall, Jumeirah Beach Road, Dubai",Dubai,,,25.216898,55.252737,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 10pm<br/>Saturday: 10am - 10pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220143,20220143
Barsha Mall Gate 1,"Inside Al Barsha Mall, Dubai, Near Al Barsha Clinic",Dubai,,,25.098915,55.204689,,,Working Hours:<br/><br/>Monday to Thursday: 10am - 10pm<br/>Friday: 02pm - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220144,20220144
Al Ghurair Center,"Inside Al Ghurair Mall, Dubai, Al Rigga Road, Deira",Dubai,,,25.268086,55.317943,,,Working Hours:<br/>Monday to Thursday: 10am - 12am<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220145,20220145
Bin Sougat,"Inside Bin Sougat Centre, Al Rashidiya",Dubai,,,25.23289995,55.38469255,,,Working Hours:<br/>Monday to Thursday: 09am - 10pm<br/>Friday: 09am - 10pm<br/>Saturday: 09am - 10pm<br/>Sunday: 09am - 10pm <br>Consumer services only,BusinessCenter,20220146,20220146
Century Mall-Al Wuheida Dubai,"Inside Century Mall, Al Wuhaida,",Dubai,,,25.289913,55.346973,,,Working Hours:<br/>Monday to Thursday: 10:00am - 10:00pm<br/>Friday: 10:00pm - 11:00pm<br/>Saturday: 10am - 11pm<br/>Sunday: 10:00am - 10:11pm <br>Consumer services only,BusinessCenter,20220147,20220147
Shindaga City Center,"Inside Al Shindaga City Center, Dubai",Dubai,,,25.264219,55.286817,,,Working Hours:<br/>Monday to Thursday: 10:00am - 10:00pm<br/>Friday: 10:00pm - 12:00am<br/>Saturday: 10am - 12am<br/>Sunday: 10:00am - 12am <br>Consumer services only,BusinessCenter,20220148,20220148
Dragon Mart 2,"Inside Dragon Mart 2, Al Awir Road, Dubai",Dubai,,,25.173749,55.421993,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 11pm<br/>Saturday: 10am - 11pm<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220149,20220149
Al Zahia City Centre,"Ground Floor, Entrance B Al Zahia City Centre",Sharjah,,,25.316291,55.455685,,,Working Hours:<br/>Monday to Wednesday: 10am - 10pm<br/>Thursday: 10 am To 12 am<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220150,20220150
Arabian Center,"Inside Arabian Center, Al Mizhar 1",Dubai,,,25.235663,55.4364,,,Working Hours:<br>Monday to Thursday: 10am - 10pm<br>Friday: 10am - 12am<br>Saturday: 10am - 12am<br>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220151,20220151
Jurainah OL,"Inside Matajer Al Jurainah, Al Jurainah,",Sharjah,,,25.296241,55.489229,,,Working Hours:<br/>Monday to Wednesday: 10am - 10pm  <br>Thursday: 10am - 12am<br/>Friday: 10am - 12am<br/>Saturday: 10am - 12am<br/>Sunday: 10am - 10pm <br>Consumer services only,BusinessCenter,20220152,20220152
Mall of Umm Al Quwain,"Inside Mall of UAQ, opposite to The National Bank of Umm Al Qaiwain",Umm Al Quwain,,,25.31166,55.32376,,,Working Hours:<br/>Monday to Thursday: 10am - 10pm<br/>Friday: 10am - 11pm<br/>Saturday: 10am - 11pm<br/>Sunday: 10am - 11pm <br>Consumer services only,BusinessCenter,20220153,20220153
Mega Mall,"Inside Mega Mall, Sharjah Istiqlal Street, Al Bu Daniq, Near Immigration Office",Sharjah,,,25.345,55.398726,,,Working Hours:<br/>Monday to Thursday: 10am to 10pm<br/>Friday: 10am - 12pm and from 1pm - 12am<br/>Saturday: 10am - 12pm<br/>Sunday: 10am - 12am <br>Consumer services only,BusinessCenter,20220154,20220154
Safeer Mall - Ajman,"Insida Safeer Mall, Sheikh Khalifa Bin Zayed Street, Alnoaimia",Ajman,,,25.390394,55.444867,,,Working Hours:<br/>Monday to Thursday: 10am to 10pm<br/>Friday: 10am to 10pm<br/>Saturday: 10am to 10pm<br/>Sunday: 10am to 10pm <br>Consumer services only,BusinessCenter,20220155,20220155
