Id,StoreCode,BranchCode,Title,Address,CategoryId,CategoryName,CategoryIcon,EmirateId,Description,PhoneNumber,FaxNumber,Facilities/0/Id,Facilities/0/Value,Facilities/0/Text,Facilities/0/LanguageText,Facilities/0/Data,Facilities/0/Notes,Facilities/0/Description,Facilities/0/Selected,Facilities/1/Id,Facilities/1/Value,Facilities/1/Text,Facilities/1/LanguageText,Facilities/1/Data,Facilities/1/Notes,Facilities/1/Description,Facilities/1/Selected,FacilityIds/0,FacilityIds/1,TimingsIds,OpeningHoursList/0/OpeningHours/0/OpenTime,OpeningHoursList/0/OpeningHours/0/CloseTime,OpeningHoursList/0/IsToday,OpeningHoursList/0/IsOpen,OpeningHoursList/0/IsOpen247,OpeningHoursList/0/DayOfWeek,OpeningHoursList/1/OpeningHours/0/OpenTime,OpeningHoursList/1/OpeningHours/0/CloseTime,OpeningHoursList/1/IsToday,OpeningHoursList/1/IsOpen,OpeningHoursList/1/IsOpen247,OpeningHoursList/1/DayOfWeek,OpeningHoursList/2/OpeningHours/0/OpenTime,OpeningHoursList/2/OpeningHours/0/CloseTime,OpeningHoursList/2/IsToday,OpeningHoursList/2/IsOpen,OpeningHoursList/2/IsOpen247,OpeningHoursList/2/DayOfWeek,OpeningHoursList/3/OpeningHours/0/OpenTime,OpeningHoursList/3/OpeningHours/0/CloseTime,OpeningHoursList/3/IsToday,OpeningHoursList/3/IsOpen,OpeningHoursList/3/IsOpen247,OpeningHoursList/3/DayOfWeek,OpeningHoursList/4/OpeningHours/0/OpenTime,OpeningHoursList/4/OpeningHours/0/CloseTime,OpeningHoursList/4/IsToday,OpeningHoursList/4/IsOpen,OpeningHoursList/4/IsOpen247,OpeningHoursList/4/DayOfWeek,OpeningHoursList/5/OpeningHours/0/OpenTime,OpeningHoursList/5/OpeningHours/0/CloseTime,OpeningHoursList/5/IsToday,OpeningHoursList/5/IsOpen,OpeningHoursList/5/IsOpen247,OpeningHoursList/5/DayOfWeek,OpeningHoursList/6/OpeningHours/0/OpenTime,OpeningHoursList/6/OpeningHours/0/CloseTime,OpeningHoursList/6/IsToday,OpeningHoursList/6/IsOpen,OpeningHoursList/6/IsOpen247,OpeningHoursList/6/DayOfWeek,SundayHours,MondayHours,TuesdayHours,WednesdayHours,ThursdayHours,FridayHours,SaturdayHours,Latitude,Longitude,MapIcon,Status,Keywords/0,Distance,IsOpen247,IsOpen,ClosingTime,Facilities/2/Id,Facilities/2/Value,Facilities/2/Text,Facilities/2/LanguageText,Facilities/2/Data,Facilities/2/Notes,Facilities/2/Description,Facilities/2/Selected,FacilityIds/2,Facilities/3/Id,Facilities/3/Value,Facilities/3/Text,Facilities/3/LanguageText,Facilities/3/Data,Facilities/3/Notes,Facilities/3/Description,Facilities/3/Selected,FacilityIds/3,Facilities/4/Id,Facilities/4/Value,Facilities/4/Text,Facilities/4/LanguageText,Facilities/4/Data,Facilities/4/Notes,Facilities/4/Description,Facilities/4/Selected,FacilityIds/4
3857dc99-417d-40ca-8493-448655607c77,E4011365,,Burj Al Salam,"Trade Centre 1 - Sheikh Zayed Road, Dubai",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Cash Deposit,,,,,false,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,f549ee87-1b76-454f-98a1-eef0b3c16df8,27e360a7-2e40-48d2-b9b5-37330a17b35f,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.229916,55.287218,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06a946a7-2514-439b-85e3-bef67cd1296a,E4010117,,Uptown Mirdif,"47th St, Near Algeria St, Uptown Mirdiff, Dubai",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Bill Payment,,,,,false,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,e07ac9ed-562c-4829-bb1a-97da6c873ea9,27e360a7-2e40-48d2-b9b5-37330a17b35f,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.224357,55.424179,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,00000000-0000-0000-0000-000000000000,,Full Day,,,,,false,3cfbb433-89ed-4d6e-a403-9c91ec18a1a5,,,,,,,,,,,,,,,,,,
df5b64c4-f979-4707-a364-d0fcd77e5e48,E4012144,,"Crowne Plaza, Yas Island","Yas Island, Yas Dr, Abu Dhabi",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,d2abdab6-9f59-4710-a564-8a2acf431ddc,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,,,,,,,,,27e360a7-2e40-48d2-b9b5-37330a17b35f,,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,24.465874,54.597296,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77328077-c4f8-4f5d-bc03-ce4bfacce33f,E4011535,,DEWA Twar Center,"Al Twar 2, Al Nahda Street, Dubai",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Cash Deposit,,,,,false,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,f549ee87-1b76-454f-98a1-eef0b3c16df8,27e360a7-2e40-48d2-b9b5-37330a17b35f,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.262823,55.385074,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5be92da8-edfa-4923-acd0-38274deb8a61,E4011102,,"Galleria Mall - Jumeirah, Al Wasl Road","Jumeirah 1 - Al Wasl Road, Dubai",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,,,,,,,,,27e360a7-2e40-48d2-b9b5-37330a17b35f,,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.207067,55.253826,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e9fb636-70b2-402c-a803-76416e14f3d0,DDD,1252,Dubai Design District Branch,"Shop No. R01, Ground Floor, Dubai Design District, Dubai",e7bc5161-d4ae-4d9d-a239-129da42936f7,Branches,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,This Branch operates as a Teller-less Branch with Sales and selected non-cash services only.,600540000,42221839,00000000-0000-0000-0000-000000000000,,Disability Friendly,,,,,false,,,,,,,,,00f0b38d-12da-481d-bf29-b75ba92a0570,,,,,false,false,false,Sunday,09:00 AM,04:00 PM,false,true,false,Monday,09:00 AM,04:00 PM,false,true,false,Tuesday,09:00 AM,04:00 PM,false,true,false,Wednesday,09:00 AM,04:00 PM,false,true,false,Thursday,08:00 AM,12:00 PM,true,true,false,Friday,,,false,false,false,Saturday,,9:00-16:00,9:00-16:00,9:00-16:00,9:00-16:00,8:00-12:00,,25.187118,55.297336,/-/media/enbd/images/branchatm/map-pin-selected.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,false,true,12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb1b0d52-4aeb-4867-b39f-7ba17e43dcf2,E4011847,,Emarat Al Rashidiya,"Al Rashidiya, 12th Street, Dubai",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,,,,,,,,,27e360a7-2e40-48d2-b9b5-37330a17b35f,,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.22869259,55.3813146,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ca22183-68ed-4138-a03d-8d8d9246ed31,E4011648,,Dubai Sport City,"Dubai Sport City, Dubai, United Arab Emirates",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Cash Deposit,,,,,false,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,f549ee87-1b76-454f-98a1-eef0b3c16df8,27e360a7-2e40-48d2-b9b5-37330a17b35f,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.038247,55.226438,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,00000000-0000-0000-0000-000000000000,,Full Day,,,,,false,3cfbb433-89ed-4d6e-a403-9c91ec18a1a5,,,,,,,,,,,,,,,,,,
eb6c21dd-4eaa-41b4-9331-18b28add618f,E4010126,,Century Mall,"Near Al Rasheed Road and Al Waheeda Road, Dubai",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Bill Payment,,,,,false,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,e07ac9ed-562c-4829-bb1a-97da6c873ea9,27e360a7-2e40-48d2-b9b5-37330a17b35f,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.289899,55.346869,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,00000000-0000-0000-0000-000000000000,,Full Day,,,,,false,3cfbb433-89ed-4d6e-a403-9c91ec18a1a5,,,,,,,,,,,,,,,,,,
2ae43d82-204d-4d42-bd08-75ecdba7c273,E4011800,,Dewa Jebel Ali,"Jebel Ali, Sheikh Zayed Road, Dubai",4386c765-d296-4c79-bb42-26c6c0b70180,ATMs,/-/media/enbd/images/branchatm/atms-icon.svg,427cfb3c-d003-46a4-b02b-b4041e2024a4,,600540000,42221839,00000000-0000-0000-0000-000000000000,,Cash Withdrawal,,,,,false,,,,,,,,,27e360a7-2e40-48d2-b9b5-37330a17b35f,,,00:00,00:00,false,false,true,Sunday,00:00,00:00,false,false,true,Monday,00:00,00:00,false,false,true,Tuesday,00:00,00:00,false,false,true,Wednesday,00:00,00:00,false,false,true,Thursday,00:00,00:00,true,false,true,Friday,00:00,00:00,false,false,true,Saturday,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,25.065844,55.129421,/-/media/enbd/images/branchatm/map-pin-atm-branches.svg,cef5f0c3-7b94-4a22-bbc4-61d04d8e1ef2,,0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
